,Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy,Value
1236,Senegal,Africa,2015,34.7,49.4,190.0275,0.19,89,54,22.9,85,89,0.1,1219,14.58,9.5,9.3,2.9,0,1,66.7,12.680737
1237,Kiribati,Oceania,2005,49.4,64.7,213.586,0.61,50,35,29.2,74,79,0.17,1531,0.09,0.2,0.2,7.3,0,1,64.5,139.42624
1238,Serbia,Rest of Europe,2005,7.7,8.9,142.495,9.27,65,98,25.5,98,98,0.01,4405,7.44,2.5,2.6,10.2,0,1,72.8,215.7455
1239,"Egypt, Arab Rep.",Africa,2000,37.1,46.6,175.924,0.14,98,64,27.6,98,98,0.13,2610,68.83,3.6,3.5,4.8,0,1,68.6,52.800346
1240,Panama,Central America and Caribbean,2012,16.0,18.7,119.297,6.21,85,72,26.6,87,85,0.4,12080,3.77,1.9,1.9,9.5,0,1,77.2,20.695553
1241,Tanzania,Africa,2003,65.6,106.5,429.3055,3.45,95,64,22.3,97,95,3.79,634,36.34,7.9,7.9,4.4,0,1,52.9,26.429806
1242,Cyprus,European Union,2005,3.8,4.5,63.682,11.41,88,91,26.6,98,98,0.04,25630,1.03,0.9,1.0,10.7,1,0,78.6,89.6147
1243,Eritrea,Africa,2002,51.6,77.3,372.128,0.89,86,88,20.2,92,90,0.51,857,2.48,9.9,9.9,3.7,0,1,56.5,20.712435
1244,Sierra Leone,Africa,2010,107.2,160.6,425.103,3.48,86,60,22.6,84,86,1.11,536,6.42,8.3,8.2,3.1,0,1,49.4,17.926392
1245,Estonia,European Union,2012,3.0,3.9,133.087,16.96,94,94,26.2,94,94,0.08,16257,1.32,1.9,1.9,12.5,1,0,76.3,120.53405
1246,Eswatini,Africa,2002,69.6,117.7,624.685,5.51,88,99,25.6,87,85,20.31,2572,1.02,8.6,8.8,3.6,0,1,44.4,35.9304
1247,Fiji,Oceania,2009,20.1,23.7,199.509,2.32,99,94,27.1,99,99,0.07,4426,0.85,4.0,3.7,9.5,0,1,66.6,71.99385
1248,St. Vincent and the Grenadines,Central America and Caribbean,2008,18.5,20.8,165.5335,7.17,99,83,26.4,99,99,0.4,7190,0.11,3.6,3.6,8.1,0,1,71.6,27.339813
1249,North Macedonia,Rest of Europe,2005,12.2,13.7,115.753,4.24,53,97,25.9,98,97,0.08,3601,2.04,2.5,2.6,8.2,0,1,73.7,172.73361
1250,Greece,European Union,2013,3.6,4.1,72.0015,7.55,98,83,27.1,99,99,0.08,17796,10.97,0.8,0.7,10.4,1,0,81.3,180.89845
1251,United Arab Emirates,Middle East,2008,7.9,9.2,76.8985,1.86,92,92,27.8,94,92,0.13,40755,7.09,5.1,4.9,9.6,0,1,76.0,13.203919
1252,"Egypt, Arab Rep.",Africa,2009,25.0,29.9,162.699,0.19,97,64,28.7,97,97,0.13,3381,81.13,3.0,3.0,6.4,0,1,70.2,60.15658
1253,Kazakhstan,Asia,2010,18.2,20.4,236.9465,3.94,99,99,26.0,98,99,0.11,8979,16.32,2.3,2.5,11.4,0,1,68.5,92.05341
1254,Ukraine,Rest of Europe,2007,11.5,13.4,271.3425,8.12,92,96,26.1,98,98,0.33,2528,46.51,2.5,2.7,11.2,0,1,68.2,221.90378
1255,Mozambique,Africa,2012,66.4,96.3,368.724,0.97,76,64,22.5,81,76,3.5,523,24.86,3.6,3.5,3.3,0,1,53.9,24.34391
1256,Bosnia and Herzegovina,Rest of Europe,2010,6.3,7.2,102.9815,4.57,89,91,25.4,90,89,0.08,4096,3.71,2.6,2.6,7.1,0,1,76.0,177.04037
1257,Nepal,Asia,2003,50.6,66.4,215.7345,0.2,46,65,21.0,76,78,0.17,584,25.08,18.0,18.6,2.6,0,1,64.2,69.57674
1258,Oman,Middle East,2000,14.2,16.5,130.341,0.38,99,99,25.4,99,99,0.05,20625,2.27,7.2,6.9,5.3,0,1,72.1,17.363768
1259,Qatar,Middle East,2002,10.0,11.6,68.394,0.83,98,91,27.8,96,96,0.04,58542,0.64,4.8,4.5,8.1,0,1,77.8,27.361473
1260,St. Lucia,Central America and Caribbean,2015,19.5,21.9,136.3935,9.23,99,83,29.8,99,99,0.4,10094,0.18,4.3,4.3,8.9,0,1,75.6,31.646894
1261,Grenada,Central America and Caribbean,2007,12.5,14.6,160.869,9.14,96,86,26.1,96,96,0.4,8677,0.11,3.9,3.9,8.0,0,1,73.1,31.518333
1262,Zambia,Africa,2003,73.2,125.4,569.503,2.39,81,39,21.7,85,83,8.7,843,11.26,7.3,7.2,6.1,0,1,46.3,25.068075
1263,Togo,Africa,2006,64.6,100.1,329.281,2.01,80,64,22.7,85,84,1.66,468,5.76,8.1,8.0,4.3,0,1,55.1,23.669708
1264,Zambia,Africa,2010,51.2,79.0,382.8695,2.79,83,39,22.2,80,83,5.74,1215,13.61,6.7,6.5,6.6,0,1,55.7,18.47325
1265,Jamaica,Central America and Caribbean,2009,15.8,18.5,142.157,3.24,90,78,26.8,90,90,0.62,4987,2.8,1.9,1.7,8.8,0,1,74.1,47.40206
1266,Benin,Africa,2003,79.8,127.4,280.0665,1.46,73,83,22.4,75,73,0.88,943,7.52,9.1,9.0,2.7,0,1,56.4,11.25153
1267,"Congo, Dem. Rep.",Africa,2001,104.4,154.9,338.642,2.05,69,64,20.8,30,30,1.01,334,48.43,12.2,12.1,3.5,0,1,50.7,14.25714
1268,Ukraine,Rest of Europe,2008,11.1,12.9,268.4445,9.41,84,95,26.2,91,90,0.31,2599,46.26,2.5,2.6,11.3,0,1,68.3,217.62262
1269,Costa Rica,Central America and Caribbean,2001,10.5,12.6,98.266,4.25,80,86,25.9,92,91,0.13,7805,4.03,2.3,2.2,8.0,0,1,77.6,30.982592
1270,United Kingdom,Rest of Europe,2006,5.0,5.9,80.04,10.93,88,86,26.8,92,92,0.08,43928,60.85,0.7,0.5,12.4,1,0,79.2,146.97011
1271,Colombia,South America,2015,13.4,15.5,140.0675,4.16,91,86,26.1,91,91,0.19,6176,47.52,2.1,1.9,8.1,0,1,76.5,19.879429
1272,Morocco,Africa,2014,21.3,24.9,72.144,0.41,99,54,25.8,99,99,0.04,2789,34.19,6.4,6.2,5.0,0,1,75.5,34.07731
1273,Libya,Africa,2013,12.3,14.4,137.147,0.01,96,95,27.8,96,96,0.08,10101,6.32,5.7,5.5,7.3,0,1,71.9,41.857952
1274,Bosnia and Herzegovina,Rest of Europe,2008,6.9,7.9,105.6105,5.03,88,92,25.2,92,91,0.08,4132,3.75,2.8,2.7,7.6,0,1,75.7,176.71126
1275,Tajikistan,Asia,2015,32.6,37.5,134.715,0.92,96,94,25.9,96,96,0.11,978,8.45,3.6,3.7,10.5,0,1,70.1,27.888601
1276,South Africa,Africa,2014,29.4,37.6,367.7435,7.21,85,55,27.2,85,77,7.47,6274,54.54,4.9,5.9,10.0,0,1,62.0,49.973225
1277,Fiji,Oceania,2007,20.1,23.7,204.926,2.1,99,94,26.9,99,99,0.05,4535,0.84,4.1,3.8,9.3,0,1,66.4,72.03458
1278,Nigeria,Africa,2004,97.8,160.3,401.9865,11.33,29,64,22.6,43,33,1.1,1878,135.32,13.2,13.2,5.2,0,1,47.7,7.583897
1279,Philippines,Asia,2006,26.0,33.6,210.145,4.05,77,19,22.5,88,88,0.02,2149,87.89,1.0,9.7,8.8,0,1,69.2,67.12615
1280,Guinea,Africa,2001,96.2,157.4,332.612,0.17,57,64,21.9,52,50,1.3,637,8.42,1.1,1.1,1.5,0,1,51.3,22.457067
1281,Mauritania,Africa,2011,60.0,93.0,210.0,0.0,75,64,24.6,73,75,0.18,1433,3.6,8.5,8.3,3.9,0,1,62.8,10.919516
1282,Argentina,South America,2004,15.3,17.1,133.0055,7.63,81,93,26.5,91,98,0.15,10389,38.49,1.1,1.0,9.2,0,1,74.3,78.74371
1283,Maldives,Asia,2014,9.1,10.5,70.354,1.3,99,97,25.2,99,99,0.17,9182,0.44,13.6,13.7,6.2,0,1,77.4,32.554386
1284,Central African Republic,Africa,2014,90.5,128.2,425.1035,1.88,47,64,22.7,50,47,1.33,364,4.46,8.4,8.3,4.1,0,1,50.1,27.625105
1285,Eswatini,Africa,2005,68.3,119.4,597.7545,5.05,95,99,25.9,88,86,19.87,2902,1.03,7.3,7.5,4.5,0,1,42.5,37.52592
1286,Germany,European Union,2002,4.2,5.1,91.2495,12.25,87,77,25.9,97,93,0.08,34883,82.49,1.2,1.1,12.1,1,0,78.2,127.65449
1287,Maldives,Asia,2008,13.8,16.1,78.1485,1.52,98,76,24.2,98,98,0.17,9119,0.34,14.2,14.3,4.3,0,1,75.1,36.99321
1288,Trinidad and Tobago,Central America and Caribbean,2006,22.4,25.2,185.282,6.05,89,78,26.6,89,92,0.4,17334,1.3,6.2,6.6,9.9,0,1,71.0,46.208843
1289,Barbados,Central America and Caribbean,2009,13.9,15.1,108.625,8.24,93,97,27.2,93,93,0.41,17254,0.28,3.8,3.8,9.3,0,1,78.3,32.595226
1290,Luxembourg,European Union,2009,2.4,2.9,73.2125,11.98,95,86,26.1,96,99,0.09,104574,0.5,0.9,0.9,11.8,1,0,80.6,95.31456
1291,Malaysia,Asia,2011,6.8,8.0,126.7315,0.54,96,95,25.1,96,96,0.16,8550,28.65,8.0,7.8,10.1,0,1,74.7,54.234837
1292,Oman,Middle East,2003,11.9,13.8,118.7185,0.55,99,98,25.5,99,99,0.05,19716,2.39,7.1,6.8,6.4,0,1,73.4,16.815672
1293,Sierra Leone,Africa,2014,95.6,139.2,401.9615,3.04,83,60,22.7,83,83,0.92,757,7.02,7.5,7.4,3.3,0,1,52.4,16.10374
1294,Israel,Middle East,2011,3.5,4.4,59.725,2.81,98,87,27.0,94,94,0.08,33678,7.77,1.2,1.1,12.7,1,0,81.7,47.34732
1295,Luxembourg,European Union,2004,2.9,3.5,86.0865,12.34,94,86,25.8,99,99,0.07,100293,0.46,1.0,0.9,11.1,1,0,79.1,109.75083
1296,Iraq,Middle East,2004,33.1,40.9,175.9275,0.33,62,41,27.4,69,74,0.13,3515,26.31,5.4,5.2,5.7,0,1,68.4,46.423035
1297,Liberia,Africa,2010,71.8,99.8,267.442,3.65,47,64,23.8,71,70,3.5,649,3.89,7.4,7.2,4.1,0,1,59.6,10.004149
1298,Sri Lanka,Asia,2008,10.5,12.2,124.8175,2.1,98,97,22.3,98,98,0.02,2675,19.98,15.4,15.4,11.0,0,1,75.2,45.485855
1299,Malaysia,Asia,2004,7.1,8.3,129.9325,0.51,94,91,24.3,95,95,0.22,7044,25.19,9.2,8.9,7.8,0,1,73.4,52.55872
1300,Malaysia,Asia,2001,8.1,9.4,132.819,0.52,95,91,24.0,95,96,0.27,6286,23.71,9.7,9.4,8.4,0,1,72.8,52.608177
1301,Myanmar,Asia,2001,63.8,87.1,237.811,0.12,74,63,21.4,77,73,0.54,345,47.23,13.3,13.7,3.2,0,1,60.4,123.669395
1302,France,European Union,2010,3.1,4.2,84.668,12.3,65,61,25.1,99,99,0.1,35640,65.03,0.6,0.6,10.9,1,0,81.7,88.7223
1303,Bolivia,South America,2012,29.6,37.0,192.7545,3.24,93,83,26.1,93,93,0.17,2693,10.38,1.2,1.1,8.3,0,1,69.0,21.257822
1304,Ukraine,Rest of Europe,2005,12.5,14.5,276.8135,6.82,97,96,26.0,95,96,0.4,2144,47.11,2.7,2.8,11.2,0,1,68.0,234.1629
1305,Thailand,Asia,2005,14.8,17.2,179.3555,6.19,96,95,23.3,98,98,0.37,4412,65.42,8.9,9.1,7.0,0,1,72.1,73.00252
1306,Slovak Republic,European Union,2009,5.9,7.2,129.606,11.13,99,97,26.0,99,99,0.01,13679,5.39,1.3,1.4,11.4,1,0,74.9,115.16966
1307,Ghana,Africa,2010,47.0,69.1,259.173,1.6,94,55,23.6,94,94,1.0,1419,24.78,7.1,7.0,6.7,0,1,61.0,14.143122
1308,Algeria,Africa,2005,28.8,33.6,118.7855,0.5,83,94,24.7,88,88,0.02,3752,33.15,6.1,6.0,6.9,0,1,73.1,34.732414
1309,Netherlands,European Union,2004,4.6,5.5,76.488,9.57,88,98,25.3,98,98,0.06,41450,16.28,1.0,1.0,11.5,1,0,79.1,142.73901
1310,Azerbaijan,Asia,2003,50.1,59.7,159.492,0.55,51,66,25.8,79,77,0.2,1919,8.23,3.0,3.0,10.6,0,1,67.8,90.772446
1311,Italy,European Union,2001,4.5,5.3,74.622,9.68,95,84,25.4,96,93,0.1,32964,56.97,0.5,0.5,8.7,1,0,80.1,127.02116
1312,Chile,South America,2002,8.3,9.8,104.85,6.06,94,96,26.8,97,97,0.14,8910,15.68,1.0,1.0,9.2,0,1,76.9,36.264122
1313,Myanmar,Asia,2013,43.8,56.2,199.4,1.31,75,80,22.4,76,75,0.31,1088,51.85,12.9,13.2,4.7,0,1,64.9,86.664345
1314,Cote d'Ivoire,Africa,2000,95.6,143.3,456.1585,4.65,59,64,22.7,66,65,3.99,1848,16.45,8.1,8.1,3.3,0,1,49.6,22.696676
1315,Austria,European Union,2015,3.0,3.7,64.6875,11.6,93,88,25.5,93,93,0.08,44196,8.64,1.9,2.1,12.1,1,0,81.2,99.81126
1316,New Zealand,Oceania,2005,5.5,6.6,77.0035,9.32,87,86,27.2,89,89,0.03,35052,4.13,0.3,0.3,11.7,1,0,79.9,76.03638
1317,Tanzania,Africa,2012,44.0,65.3,287.067,6.22,92,64,22.9,90,92,2.32,857,47.05,6.9,6.8,5.5,0,1,60.5,20.000103
1318,"Iran, Islamic Rep.",Middle East,2003,25.1,30.2,141.0335,0.012,98,65,25.3,99,99,0.15,4543,68.12,7.5,7.7,6.7,0,1,71.3,28.641006
1319,Guyana,South America,2014,28.1,34.1,210.868,5.84,98,91,26.2,97,98,0.59,5568,0.76,5.5,5.3,8.4,0,1,69.0,35.114468
1320,"Gambia, The",Africa,2000,61.6,113.4,300.7215,3.16,91,64,21.9,84,80,1.68,729,1.32,1.2,1.2,2.0,0,1,56.0,23.41131
1321,Peru,South America,2006,19.3,24.9,139.7105,4.48,94,50,25.6,94,94,0.19,4124,28.1,1.2,1.2,8.1,0,1,73.2,12.916712
1322,Namibia,Africa,2011,36.9,48.9,383.243,1.59,82,64,23.9,85,82,5.62,4282,2.16,9.9,9.9,6.3,0,1,58.1,38.887054
1323,Switzerland,Rest of Europe,2008,4.0,4.7,59.218,10.29,88,83,25.0,96,95,0.07,82998,7.65,0.5,0.4,12.9,1,0,82.0,93.5682
1324,St. Vincent and the Grenadines,Central America and Caribbean,2011,17.3,19.2,159.928,7.04,96,83,26.7,96,96,0.4,6738,0.11,3.5,3.5,8.4,0,1,71.8,29.578657
1325,Lebanon,Middle East,2010,8.7,10.2,67.7015,1.37,81,73,27.1,77,81,0.03,9115,4.95,4.7,4.7,7.9,0,1,78.4,100.85568
1326,Latvia,European Union,2010,6.5,7.8,180.8715,9.83,91,93,26.3,92,92,0.22,10964,2.1,2.2,2.3,12.5,1,0,73.5,152.42062
1327,Cabo Verde,Africa,2009,22.7,27.0,134.1865,4.2,98,96,24.2,99,99,0.26,3004,0.49,7.6,7.6,5.0,0,1,70.9,11.625907
1328,Ecuador,South America,2004,20.7,24.4,149.1315,4.09,88,95,25.8,90,88,0.2,4725,13.6,1.5,1.3,7.2,0,1,73.9,20.392897
1329,Moldova,Rest of Europe,2015,13.6,15.8,171.2775,6.76,88,92,27.0,88,87,0.36,2732,2.83,2.7,2.8,11.6,0,1,71.5,141.58829
1330,Bolivia,South America,2010,33.0,41.6,200.5385,3.37,91,83,25.8,90,91,0.17,2514,10.05,1.2,1.1,7.8,0,1,68.0,20.622725
1331,"Venezuela, RB",South America,2003,16.9,19.8,156.3825,6.39,72,83,26.4,86,68,0.4,3273,25.55,1.7,1.6,7.0,0,1,72.6,34.475094
1332,Malta,European Union,2008,5.9,6.8,57.259,6.87,86,83,27.1,72,72,0.08,19948,0.41,0.7,0.7,10.0,1,0,79.6,80.38873
1333,Bosnia and Herzegovina,Rest of Europe,2003,8.1,9.2,113.603,4.29,92,85,24.9,87,87,0.08,3172,3.76,3.0,3.0,7.2,0,1,74.9,162.18427
1334,Pakistan,Asia,2005,76.6,96.3,180.861,0.039,65,33,23.0,63,77,0.13,1175,160.3,21.2,21.7,4.5,0,1,64.0,63.594704
1335,Bhutan,Asia,2013,29.6,36.2,216.1,0.31,97,89,23.6,97,97,0.14,2501,0.71,15.9,16.5,2.8,0,1,69.7,28.357254
1336,Canada,North America,2010,5.0,5.7,69.0295,8.4,56,85,26.8,90,89,0.1,41155,34.0,0.5,0.4,12.6,1,0,81.2,98.012856
1337,Uruguay,South America,2001,14.4,16.5,123.728,6.9,94,92,25.9,94,94,0.17,9679,3.33,1.8,1.7,8.0,0,1,74.9,114.177895
1338,Madagascar,Africa,2002,62.5,96.5,271.224,0.8,51,64,20.7,61,62,0.04,426,16.77,8.5,8.4,5.3,0,1,59.7,17.48126
1339,St. Vincent and the Grenadines,Central America and Caribbean,2010,17.8,19.8,161.7965,7.19,99,83,26.6,99,99,0.4,6783,0.11,3.5,3.5,8.3,0,1,71.8,28.359821
1340,Tajikistan,Asia,2013,34.2,39.4,137.093,0.8,96,92,25.6,97,96,0.12,907,8.06,3.6,3.7,10.7,0,1,69.6,29.631073
1341,Burundi,Africa,2001,91.9,149.4,355.612,6.62,87,57,20.7,72,81,1.41,306,6.53,8.8,8.8,1.9,0,1,49.9,19.681862
1342,Morocco,Africa,2000,43.9,52.3,152.9405,0.45,43,92,24.6,95,95,0.06,1763,28.79,6.7,6.6,3.4,0,1,68.7,33.40049
1343,Libya,Africa,2008,16.1,18.8,132.4335,0.011,98,97,27.4,98,98,0.09,13794,6.06,5.5,5.4,7.0,0,1,72.2,38.08486
1344,Japan,Asia,2013,2.1,2.9,57.102,8.65,83,93,22.7,99,96,0.17,34240,127.45,2.0,1.7,12.2,1,0,83.3,104.28004
1345,Lithuania,European Union,2013,4.1,5.0,178.7025,14.92,93,92,26.4,93,93,0.09,13262,2.96,2.7,2.7,11.9,1,0,73.9,148.55318
1346,Portugal,European Union,2002,4.7,6.1,106.0975,12.5,82,64,25.6,96,98,0.21,19068,10.42,0.8,0.6,7.0,1,0,77.1,88.34895
1347,"Congo, Rep.",Africa,2015,37.6,52.6,262.224,2.05,80,64,23.1,80,80,2.04,2449,4.86,7.5,7.1,6.3,0,1,63.1,22.210014
1348,Zambia,Africa,2006,58.4,98.5,496.876,2.73,81,39,21.9,83,81,7.23,965,12.17,7.0,6.9,6.4,0,1,49.8,21.949854
1349,Namibia,Africa,2007,37.6,60.8,500.1645,1.9,83,64,23.5,81,86,7.04,4012,2.01,12.0,12.0,6.1,0,1,52.6,44.58669
1350,Australia,Oceania,2006,4.7,5.6,65.59,10.31,95,87,26.7,92,92,0.05,50948,20.7,0.7,0.6,11.9,1,0,81.0,59.81426
1351,Cameroon,Africa,2000,87.6,143.9,411.085,3.89,81,64,23.0,57,62,4.22,1107,15.51,7.7,7.8,4.8,0,1,51.0,17.96956
1352,"Egypt, Arab Rep.",Africa,2007,27.1,32.7,167.5755,0.19,98,64,28.4,98,98,0.13,3126,78.23,3.1,3.1,6.0,0,1,69.8,58.153397
1353,Papua New Guinea,Oceania,2006,48.7,63.5,245.9055,0.61,71,65,24.7,65,72,0.5,1944,6.65,1.4,1.4,3.6,0,1,60.8,45.76847
1354,Lao PDR,Asia,2005,63.6,86.8,243.807,3.69,49,65,21.6,50,49,0.16,1172,5.75,1.0,1.1,4.2,0,1,61.6,72.961296
1355,Lithuania,European Union,2004,7.4,9.3,205.9795,12.1,94,93,26.1,90,94,0.06,8919,3.38,3.1,3.1,11.5,1,0,72.0,148.6576
1356,Malta,European Union,2000,6.9,7.8,64.045,5.94,86,52,26.9,94,94,0.08,17189,0.39,0.8,0.7,8.1,1,0,78.3,93.58611
1357,Ecuador,South America,2011,15.6,18.1,131.6005,3.99,88,92,26.6,85,88,0.16,5655,15.24,1.3,1.2,8.0,0,1,75.3,18.171038
1358,"Congo, Dem. Rep.",Africa,2003,99.9,145.7,325.9935,2.26,69,64,21.0,47,41,0.89,342,51.43,11.9,11.7,3.9,0,1,52.1,13.630044
1359,Dominican Republic,Central America and Caribbean,2005,29.8,36.4,178.7195,5.75,87,83,25.4,86,87,0.74,4647,9.1,3.5,3.4,7.0,0,1,70.8,28.744879
1360,Dominican Republic,Central America and Caribbean,2005,29.8,36.4,178.7195,5.75,87,83,25.4,86,87,0.74,4647,9.1,3.5,3.4,7.0,0,1,70.8,52.330204
1361,Spain,European Union,2003,4.1,5.0,80.6985,11.04,81,92,26.2,99,98,0.09,25311,42.19,0.6,0.5,8.6,1,0,79.6,123.96063
1362,Czechia,European Union,2011,2.6,3.3,95.5795,12.56,99,98,26.9,99,99,0.08,16762,10.5,1.9,1.9,12.5,1,0,77.9,140.37038
1363,Syrian Arab Republic,Middle East,2003,17.7,20.7,118.895,0.86,81,83,27.1,85,83,0.13,1423,17.42,6.6,6.4,5.1,0,1,74.0,42.03313
1364,Argentina,South America,2011,12.4,13.9,122.669,7.69,91,91,27.2,93,91,0.14,14200,41.26,1.0,0.9,9.8,0,1,75.4,72.73185
1365,Rwanda,Africa,2002,90.3,149.6,423.329,9.16,88,87,21.1,85,88,2.69,399,8.43,7.2,7.4,2.5,0,1,51.0,40.29769
1366,Brunei Darussalam,Asia,2011,8.1,9.8,91.9455,0.91,93,93,26.5,96,97,0.1,34244,0.39,5.9,5.4,8.8,0,1,74.9,35.419987
1367,Guinea,Africa,2011,73.1,115.3,286.4,0.24,63,64,22.6,63,63,0.84,712,10.42,8.0,8.0,2.0,0,1,57.4,20.687262
1368,Namibia,Africa,2015,33.3,47.6,315.473,2.63,92,64,24.2,92,92,4.58,4897,2.31,8.2,8.1,6.7,0,1,62.1,37.407154
1369,Guatemala,Central America and Caribbean,2013,25.6,30.7,168.019,1.83,85,83,26.3,83,85,0.03,3802,15.04,1.2,1.2,4.7,0,1,72.6,14.439873
1370,Nepal,Asia,2014,30.5,37.4,158.944,0.24,92,65,22.2,92,92,0.17,871,26.91,15.9,16.3,4.5,0,1,69.2,74.322
1371,Zambia,Africa,2002,79.2,136.1,593.712,2.61,81,39,21.6,85,84,9.05,808,10.97,7.4,7.3,6.1,0,1,45.4,26.121956
1372,Solomon Islands,Oceania,2007,23.8,28.4,184.517,0.82,90,65,25.5,89,90,0.17,1910,0.49,1.2,1.2,4.9,0,1,69.8,68.43056
1373,Syrian Arab Republic,Middle East,2000,19.6,23.0,122.6915,0.93,79,80,26.9,86,84,0.13,1341,16.41,6.8,6.6,4.6,0,1,73.1,47.360706
1374,Antigua and Barbuda,Central America and Caribbean,2014,6.8,8.1,131.452,9.66,99,99,26.5,96,99,0.2,13909,0.09,3.3,3.3,9.2,0,1,76.3,25.119644
1375,Serbia,Rest of Europe,2000,10.9,12.6,149.9165,9.2,81,78,25.3,98,95,0.01,3193,7.52,2.8,2.9,9.4,0,1,71.6,200.42235
1376,Moldova,Rest of Europe,2001,23.9,28.6,238.655,6.34,94,92,26.0,98,97,0.25,1423,2.92,3.5,3.6,9.3,0,1,67.2,124.32497
1377,Panama,Central America and Caribbean,2011,16.5,19.3,120.477,6.16,87,81,26.5,91,87,0.4,11194,3.71,2.0,1.9,9.3,0,1,77.0,20.547464
1378,Grenada,Central America and Caribbean,2012,13.5,15.5,145.097,7.77,97,75,26.6,98,97,0.4,7934,0.11,3.8,3.8,8.4,0,1,72.7,28.773355
1379,Uruguay,South America,2002,14.1,16.2,120.9975,6.08,95,92,26.0,93,95,0.18,8929,3.33,1.7,1.7,8.0,0,1,75.2,113.478676
1380,Barbados,Central America and Caribbean,2001,14.0,15.3,125.1375,7.42,83,70,26.6,93,84,0.61,15834,0.27,4.2,4.2,9.0,0,1,77.4,38.431705
1381,Mauritius,Africa,2001,15.3,17.5,169.8725,4.31,92,80,24.5,93,92,1.21,5674,1.2,8.0,8.0,6.4,0,1,71.8,57.909252
1382,North Macedonia,Rest of Europe,2011,8.8,10.0,103.787,3.52,96,97,26.4,97,96,0.08,4434,2.06,2.2,2.3,9.3,0,1,75.1,171.00189
1383,Haiti,Central America and Caribbean,2006,63.8,87.2,282.083,3.51,60,83,24.1,61,60,1.07,1286,9.34,4.3,4.3,4.4,0,1,59.0,18.6979
1384,Armenia,Rest of Europe,2000,27.0,30.6,149.064,2.91,55,94,25.7,96,93,0.08,1290,3.07,2.1,2.2,10.8,0,1,71.4,120.24296
1385,South Africa,Africa,2001,47.8,73.1,460.7075,7.56,72,54,26.2,71,71,12.31,4996,45.57,15.4,18.1,7.5,0,1,55.1,61.004837
1386,United Arab Emirates,Middle East,2006,8.2,9.6,81.046,2.46,92,93,27.6,94,92,0.13,51197,5.3,5.1,4.9,9.3,0,1,75.6,16.835297
1387,Suriname,South America,2011,20.1,22.5,177.0,5.69,86,16,26.2,83,86,0.6,9358,0.54,3.5,3.4,7.8,0,1,70.7,45.052444
1388,Burundi,Africa,2007,70.4,110.5,340.312,5.03,99,57,21.1,93,99,0.69,302,7.86,8.0,8.0,2.4,0,1,54.9,13.243718
1389,Georgia,Rest of Europe,2013,10.2,11.4,161.53,6.76,96,89,27.2,94,93,0.14,3739,3.72,2.7,2.8,12.6,0,1,72.4,159.3562
1390,Canada,North America,2008,5.1,5.9,72.9125,8.4,28,85,26.8,96,92,0.1,42064,33.25,0.5,0.4,12.4,1,0,80.7,102.65609
1391,Ethiopia,Africa,2004,73.1,115.3,353.864,0.21,52,64,20.1,54,40,0.73,286,74.24,11.5,11.3,1.8,0,1,55.2,7.6164465
1392,Cote d'Ivoire,Africa,2007,81.1,118.2,430.5715,0.91,76,64,23.3,75,76,1.85,1558,19.17,6.8,6.7,3.9,0,1,51.1,18.285128
1393,Ecuador,South America,2007,18.5,21.7,140.35,3.99,94,95,26.1,95,96,0.17,5048,14.3,1.4,1.3,7.3,0,1,74.5,20.577246
1394,Finland,European Union,2014,2.1,2.6,72.193,8.76,88,92,25.9,98,98,0.08,42711,5.46,0.9,0.8,12.4,1,0,81.2,75.476524
1395,Senegal,Africa,2014,36.2,52.3,193.5185,0.19,89,64,22.9,85,89,0.1,1179,14.17,9.7,9.5,2.8,0,1,66.4,13.000085
1396,Turkiye,Middle East,2011,14.5,16.9,113.8015,1.47,96,65,27.5,97,97,0.08,9299,73.44,4.9,4.7,7.2,0,1,74.9,79.907555
1397,Tunisia,Africa,2009,16.2,18.9,99.6225,1.36,99,97,25.8,99,99,0.04,3881,10.53,6.3,6.3,6.4,0,1,74.9,70.15754
1398,"Bahamas, The",Central America and Caribbean,2004,14.4,16.8,180.7985,9.61,93,83,27.1,92,93,0.7,35122,0.32,2.6,2.5,10.9,0,1,72.0,25.082006
1399,Guatemala,Central America and Caribbean,2003,36.8,46.2,198.056,2.34,87,83,25.3,84,84,0.33,3251,12.42,1.4,1.4,3.7,0,1,69.1,15.065404
1400,Barbados,Central America and Caribbean,2014,13.3,14.3,100.3405,9.27,94,91,27.6,95,94,0.29,16188,0.28,3.8,3.7,10.5,0,1,78.7,31.393034
1401,Netherlands,European Union,2000,5.1,6.2,83.609,10.13,88,97,25.0,97,97,0.06,40457,15.93,1.1,1.1,10.8,1,0,78.0,152.36249
1402,Uganda,Africa,2009,52.1,81.5,369.69,11.1,79,64,21.9,78,79,3.29,750,31.41,6.1,6.1,5.2,0,1,56.1,11.63872
1403,Uruguay,South America,2008,10.3,11.8,114.3705,6.54,94,93,26.5,94,94,0.22,12022,3.34,1.6,1.5,8.4,0,1,76.4,103.68356
